,World,Brazil,Canada,China,India,United States,Norway,Switzerland,France,Denmark,Spain,Italy,Germany,Poland,United Kingdom,South Africa,Australia,Russia
Climate change,40.92165785492562,31.447929079879298,30.06268561029801,46.49063848372593,60.644147918839764,36.6465385707494,25.87150794164042,26.652049309510108,27.291184024107366,31.786353423384945,32.6770437663992,34.09631530780205,37.73958452568318,48.69054696218009,32.507502460561426,51.81900363725545,46.94818837563875,41.776921524421084
Acidification,1.0390545799490636,0.84161328434056,0.784506912076158,1.234839265807955,1.4085922032105496,0.8562182527912976,0.7116073465070654,0.7246343871558224,0.7425506515252154,0.8008697073636817,0.9641878771986838,0.8674086082259117,0.8166019867684046,1.4040276938692213,0.7969917907033488,2.1599252214809277,1.1130933842788575,1.0380443610291519
"Eutrophication, freshwater",19.89880826094286,14.905522150709384,18.011973614949433,17.646995785677927,27.440460577882792,20.60809748468413,14.622395800025119,14.871010028849572,14.823033705993058,17.854532832642253,16.41930351383066,15.914381895421887,26.674878505412508,35.1538693804977,15.315418310803558,27.704251143156977,39.20651204615478,21.162394981681178
"Eutrophication, marine",11.885846935537215,10.127155427460039,9.823814286457663,14.005950458878731,15.162210431642904,10.3514294944751,9.200740646347924,9.320803299093809,9.567873218737311,10.11728036901376,10.916116768744931,10.217844348916499,10.636053041385825,13.407721959929681,10.068003676807296,17.601447611097118,13.214201591955261,11.382802766214507
"Eutrophication, terrestrial",0.31767445264767086,0.25278347540641743,0.23358199812965638,0.41057258164738203,0.45251644749278785,0.251514917777657,0.21610115737314578,0.22057054223032557,0.22554955197415624,0.2543523685513416,0.2829515070642115,0.2585407369703567,0.25396562373818093,0.3526095583459879,0.2524738272780814,0.5503201255465625,0.3345970664144489,0.29220047988977615
Photochemical ozone formation,1.303036364215237,1.0117361616196248,0.9669115098958939,1.6489132550456274,1.8124790718789845,1.0512923372824783,0.8898744060568038,0.9039174740531211,0.9295665021777738,1.0187747169557937,1.1613731470420867,1.0709849295296916,1.0335737153043971,1.467583311040433,1.024428238949471,2.220792880392225,1.3571250462556075,1.2549670533996904
Particulate matter formation,13.769164704800884,12.908722148162063,9.880342883861639,22.27273683202232,12.738970119910125,10.765226899355364,9.540829829445663,9.68605057758996,10.122341611511857,10.39269456429205,10.565553691625185,10.50633834496816,10.194494430750384,11.238980647888146,10.189605742625494,12.276089785346976,10.438150076256687,10.839311015777323
Ozone depletion,0.02820108499933276,0.026683579780197416,0.024821706214423048,0.02334123130089647,0.024773465726992346,0.029389699637902396,0.022107562782864788,0.02282957738344402,0.024214029858526272,0.023860029150437383,0.02718714375604366,0.03530759825541606,0.025483591993207336,0.02542106340471873,0.027470147688093527,0.023913125139887366,0.025141871754110947,0.037497169933200535
"Ecotoxicity, freshwater",11.925340637387446,10.62535253470451,10.669988854161806,12.360594679207447,12.240689231715194,12.551893411904011,10.379934732656752,10.439239148881397,10.485549632897062,10.831554535581512,10.780150156696562,10.777505053477187,11.478456784716556,12.390423373739127,10.583513178598716,10.876710763979334,12.357073639899411,11.211867782505534
"Human toxicity, carcinogenic",0.09982147083110553,0.09170137571649899,0.09019020716398615,0.10465250887463887,0.11809046853305628,0.09712542426756582,0.08844480541412893,0.08838072879504426,0.08977407631202536,0.09496882267196527,0.09614249720240373,0.09393820376493286,0.09643127207173877,0.11740717480568132,0.09262593121386141,0.12269488020263027,0.10261077626418015,0.0949054334371077
"Human toxicity, non-carcinogenic",1.3128540439738139,1.2190203292207324,1.2138227256778666,1.398192165794257,1.60390689431839,1.251665814680552,1.1965268567703342,1.2042826004453555,1.2097491870644814,1.2539593768818376,1.2693565512240492,1.2349294255918164,1.2787639035930003,1.533826434021129,1.2349788029050273,1.6965283838395655,1.3774530947804775,1.268219217602843
Ionising radiation,0.04685891212448394,0.03456800744651645,0.0688911223746277,0.033064221877547234,0.035680227913519595,0.0593361167382953,0.033058235709704044,0.06207895575942668,0.11553833810410237,0.04131864736437054,0.06654017978513431,0.038345801675309696,0.04506673177061554,0.03485455321904632,0.07558396315667221,0.03690746471636224,0.03067619413622554,0.06435148500681198
"Resource use, fossils",10.551544122778935,7.82481490929827,8.689920015137355,10.611014226854715,14.293621057588325,10.221227254122969,6.782852720591618,8.04697121850401,11.552788913921995,8.306017504689795,9.77862401195943,9.007316683803447,9.62180270495024,11.434365285454444,10.05784898819562,12.917857312125744,10.755854941674938,12.166652967412109
"Resource use, mineral and metals",54.883255105881794,54.764384152506565,54.41661757908386,54.84537105673748,54.95554978625096,54.83108732385498,54.70191720294142,54.86653718719996,54.87424147672858,55.08312112836437,54.93716626650145,55.02049714055375,55.36686027695085,54.851124207397966,54.969638346501675,54.85550545110531,54.961429456941666,54.90641608402017
"Land use, soil erosion",0.7513501074004312,1.5525422024648396,0.6775370184993037,0.6781794635263109,0.9800180447383929,0.7094124411119304,0.655704189819461,0.6561743001072681,0.6598810818301659,0.6905114355338371,0.6837062410494481,0.665570443587607,0.7161648873583342,0.7966024128407244,0.662825944576608,0.9437285294947694,0.7660671171357255,0.7063490183686166
Freshwater use,0.5045375638845411,0.45189947063227826,0.5309487876386578,0.5243459721652195,0.5668182467280417,0.49366686298487006,0.4384765858800134,0.45542637292722565,0.49656370224908725,0.45807978680965056,0.47644653213633087,0.466066446131826,0.4998448796551771,0.5251858544898725,0.4813166405123042,0.4836476690749441,0.5272848780012146,0.5135875603476201
